well,serum,dilution_factor,replicate,fastq
E1,none,,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_5_S9_R1_001.fastq.gz
F1,none,,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_6_S10_R1_001.fastq.gz
E2,halflibconc,60,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_13_S17_R1_001.fastq.gz
F2,halflibconc,60,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_14_S18_R1_001.fastq.gz
E3,halflibconc,180,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_21_S25_R1_001.fastq.gz
F3,halflibconc,180,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_22_S26_R1_001.fastq.gz
E4,halflibconc,540,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_29_S33_R1_001.fastq.gz
F4,halflibconc,540,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_30_S34_R1_001.fastq.gz
E5,halflibconc,1620,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_37_S41_R1_001.fastq.gz
F5,halflibconc,1620,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_38_S42_R1_001.fastq.gz
E6,halflibconc,4860,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_45_S49_R1_001.fastq.gz
F6,halflibconc,4860,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_46_S50_R1_001.fastq.gz
E7,halflibconc,14580,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_53_S57_R1_001.fastq.gz
F7,halflibconc,14580,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_54_S58_R1_001.fastq.gz
E8,halflibconc,43740,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_61_S65_R1_001.fastq.gz
F8,halflibconc,43740,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_62_S66_R1_001.fastq.gz
E9,halflibconc,131220,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_69_S73_R1_001.fastq.gz
F9,halflibconc,131220,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_70_S74_R1_001.fastq.gz
E10,halflibconc,393660,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_77_S81_R1_001.fastq.gz
F10,halflibconc,393660,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_78_S82_R1_001.fastq.gz
E11,halflibconc,1180980,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_85_S89_R1_001.fastq.gz
F11,halflibconc,1180980,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_86_S90_R1_001.fastq.gz
E12,none,,3,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_93_S97_R1_001.fastq.gz
F12,none,,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/240805_VH00319_539_AAG3FFNM5/Unaligned/Project_aloes/PlateB_94_S98_R1_001.fastq.gz
